Total Immigrants,Total Population,Total Unemployed,_id
2765,22721,22002,"Sant Pere, Santa Caterina i la Ribera"
2839,41127,27193,Sants
283,9383,7632,"la Font d'en Fargues"
140,6856,6980,Canyelles
458,7261,9514,la Trinitat Nova
57,2271,1745,Can Peguera
3587,50662,31988,la Vila de Gràcia
1398,25000,19684,Porta
2201,38168,29109,"el Camp de l'Arpa del Clot"
32,1149,1670,la Marina del Prat Vermell
3200,44052,20638,"la Dreta de l'Eixample"
1181,25774,8753,Sant Gervasi - la Bonanova
493,15231,14311,la Guineueta
1759,14996,15966,la Barceloneta
1127,26715,21637,Horta
1414,31551,26021,el Carmel
1285,25672,16160,el Baix Guinardó
1515,29470,14920,el Putxet i el Farró
1335,23948,14094,la Maternitat i Sant Ramon
1765,33843,21836,el Poblenou
603,14116,9883,el Congrés i els Indians
187,5784,3671,"la Vall d'Hebron"
3591,51539,32465,la Sagrada Família
702,16667,5344,les Tres Torres
732,13185,8208,la Salut
646,10401,8743,la Font de la Guatlla
2276,46009,27912,les Corts
95,2856,2616,Torre Baró
2434,47666,16219,Sant Gervasi - Galvany
772,15759,9693,Vallcarca i els Penitents
4062,58180,35304,"la Nova Esquerra de l'Eixample"
187,4670,1378,"Vallvidrera, el Tibidabo i les Planes"
2016,23009,22873,el Besòs i el Maresme
69,1372,1582,Vallbona
256,5102,3451,Montbau
878,15467,12469,el Turó de la Peira
1208,25032,7096,Sarrià
1499,30584,25874,la Marina de Port
675,9983,12645,la Trinitat Vella
1302,27039,19745,el Clot
39,610,254,la Clota
658,12560,10712,el Bon Pastor
410,9367,6349,la Vila Olímpica del Poblenou
2,,245,No consta
3087,40228,34720,el Poble Sec
1240,28691,24715,la Verneda i la Pau
386,6854,4767,Sant Genís dels Agudells
372,7412,4068,el Coll
764,12076,3261,Pedralbes
959,15134,9538,el Parc i la Llacuna del Poblenou
780,13629,9991,Diagonal Mar i el Front Marítim del Poblenou
945,18530,13279,la Bordeta
1791,34329,20806,"el Camp d'en Grassot i Gràcia Nova"
1206,26389,22152,la Prosperitat
666,12353,11605,Verdun
2687,16062,13526,el Barri Gòtic
5400,47608,49606,el Raval
1837,36467,25256,el Guinardó
3467,42284,22710,"l'Antiga Esquerra de l'Eixample"
920,15590,15135,les Roquetes
92,2539,1887,Baró de Viver
1354,29084,20303,la Sagrera
1056,25591,20117,Vilapicina i la Torre Llobeta
1073,26146,21819,Sant Martí de Provençals
988,22129,15208,Navas
1965,57183,43324,Sant Andreu
1159,15904,11312,Hostafrancs
512,11619,7890,la Teixonera
473,8994,5876,Can Baró
2237,32016,19885,el Fort Pienc
974,20487,15556,Provençals del Poblenou
2490,38345,25305,Sant Antoni
838,10342,13648,Ciutat Meridiana
1476,23987,14260,Sants - Badal
